"","time","fingerprint","age","race","gender"
"85",1658263270.65119,"734f94f76fd6f7647d141bd59caf417a",24,"White","Female"
"86",1658263303.21165,"d75f7d347b8969b595ae8a949f4c0bee",32,"White","Female"
"87",1658263636.90107,"6a69f12f408bd9072b710c1f7e597d18",21,"Asian","Female"
"88",1658263722.83043,"a858f2458427b64d0ac24dc6b5d32a14",36,"White","Male"
"89",1658263740.00945,"681b0cca4e172925406035b3f143da03",24,"Asian","Male"
"90",1658263775.96783,"55ab680aba68335910fe4fb0bebc28cc",21,"White","Female"
"91",1658263833.43901,"6e698ada041accf4dce470bafedb968b",37,"White","Female"
"92",1658264070.35966,"d2e08ba98377e9b1b6c32c6d80673efb",18,"White","Female"
"93",1658264082.0991,"6831cd2c76e82038a34155d775852e96",22,"White","Female"
"94",1658264107.49877,"e5708e26307a54468076c01436f84088",NA,"White","Female"
"95",1658264157.70343,"c792afea0785320fd7ca4d08fc27e079",19,"White","Female"
"96",1658264269.16604,"9da4a4d59c5df0fb35cedb11871b206d",20,"White","Male"
"97",1658264279.69833,"e326dec83876cc652a052c9446456a8f",NA,"White","Female"
"98",1658264439.07238,"7804c5e4ab16ff5c5d504b3d360fd2cb",61,"White","Female"
"99",1658264497.91511,"fc2ce45c222ded9a56fb2f720df22584",24,"White","Male"
"100",1658264560.50171,"0aac432da11f3e6d5656eb7bfada1861",30,"Hispanic","Male"
"102",1658264656.68884,"f565a85fe5ae914efc16bf6c57ecc46c",21,"Hispanic","Male"
"103",1658264668.87657,"06475dbfa98aee278e1b1bb181c6a939",42,"White","Female"
"104",1658265060.68415,"9f054c84565831f09c62d9d97963b713",29,"Asian","Female"
"105",1658265071.52217,"0aac432da11f3e6d5656eb7bfada1861",30,"Hispanic","Male"
"108",1658265086.62794,"3e5cbed69173c3298611593ccc4cf01f",21,"White","Male"
"109",1658265101.51946,"3499c550f2799efc9361048586e8376f",37,"White","Male"
"110",1658265217.01349,"6e196d319f8bdb53c25b0c8c25fef212",32,"White","Male"
"111",1658265249.67469,"6ebd2cc8c1b832fb5c820ebef935d42e",25,"White","Female"
"112",1658265305.12044,"16279268d5423713dfcc9d692157d912",28,"White, Hispanic","Female"
